text,target,num_characters,num_words,num_sentance,transformed_text
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,111,24,2,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
Ok lar... Joking wif u oni...,0,29,8,2,ok lar joke wif u oni
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,155,37,2,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18
U dun say so early hor... U c already then say...,0,49,13,1,u dun say earli hor u c alreadi say
"Nah I don't think he goes to usf, he lives around here though",0,61,15,1,nah think goe usf live around though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,147,39,4,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv
Even my brother is not like to speak with me. They treat me like aids patent.,0,77,18,2,even brother like speak treat like aid patent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,31,2,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,157,32,5,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,154,31,3,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,109,28,2,gon na home soon want talk stuff anymor tonight k cri enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,136,31,3,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
